Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint,Tumor Volume (mm3),Metastatic Sites,Tumor_Volume_Change_mm3,Tumor_Volume_Change_pct,Weight_Category,Age_Group,Study_Phase
k403,Ramicane,Male,21,16.0,0,45.0,0,0.0,0.0,Light (<17g),13–24 mo,Early (0–10)
k403,Ramicane,Male,21,16.0,5,38.82589807,0,-6.174101929999999,-13.72,Light (<17g),13–24 mo,Early (0–10)
k403,Ramicane,Male,21,16.0,10,35.01427146,1,-9.985728539999997,-22.19,Light (<17g),13–24 mo,Early (0–10)
k403,Ramicane,Male,21,16.0,15,34.22399174,1,-10.776008259999998,-23.95,Light (<17g),13–24 mo,Mid (11–25)
k403,Ramicane,Male,21,16.0,20,32.99772858,1,-12.00227142,-26.67,Light (<17g),13–24 mo,Mid (11–25)
k403,Ramicane,Male,21,16.0,25,33.46457735,1,-11.535422650000001,-25.63,Light (<17g),13–24 mo,Mid (11–25)
k403,Ramicane,Male,21,16.0,30,31.09949753,1,-13.90050247,-30.89,Light (<17g),13–24 mo,Late (26–45)
k403,Ramicane,Male,21,16.0,35,26.54699343,1,-18.45300657,-41.01,Light (<17g),13–24 mo,Late (26–45)
k403,Ramicane,Male,21,16.0,40,24.36550471,1,-20.63449529,-45.85,Light (<17g),13–24 mo,Late (26–45)
k403,Ramicane,Male,21,16.0,45,22.05012627,1,-22.94987373,-51.0,Light (<17g),13–24 mo,Late (26–45)
s185,Capomulin,Female,3,17.0,0,45.0,0,0.0,0.0,Light (<17g),0–6 mo,Early (0–10)
s185,Capomulin,Female,3,17.0,5,43.87849569,0,-1.1215043099999988,-2.49,Light (<17g),0–6 mo,Early (0–10)
s185,Capomulin,Female,3,17.0,10,37.61494768,0,-7.38505232,-16.41,Light (<17g),0–6 mo,Early (0–10)
s185,Capomulin,Female,3,17.0,15,38.17723195,0,-6.8227680500000005,-15.16,Light (<17g),0–6 mo,Mid (11–25)
s185,Capomulin,Female,3,17.0,20,36.86687576,0,-8.13312424,-18.07,Light (<17g),0–6 mo,Mid (11–25)
