Drug Regimen,Mean,Median,Variance,Std_Dev,SEM,Min,Max,Count
Capomulin,40.6757,41.5578,24.9478,4.9948,0.3293,23.3436,48.1582,230
Ceftamin,52.5912,51.7762,39.2902,6.2682,0.4698,45.0,68.9232,178
Infubinol,52.8848,51.8206,43.1287,6.5672,0.4922,36.3213,72.2267,178
Ketapril,55.2356,53.6987,68.5536,8.2797,0.6039,45.0,78.567,188
Naftisol,54.3316,52.5093,66.1735,8.1347,0.5965,45.0,76.6688,186
Placebo,54.0336,52.2889,61.1681,7.821,0.5813,45.0,73.2129,181
Propriva,52.3209,50.4463,43.852,6.6221,0.5443,45.0,72.4554,148
Ramicane,40.2167,40.6732,23.4867,4.8463,0.321,22.0501,47.6228,228
Stelasyn,54.2331,52.4317,59.4506,7.7104,0.5731,45.0,75.1237,181
Zoniferol,53.2365,51.8185,48.5334,6.9666,0.5164,45.0,73.3244,182
